episode,step,speed,raw_policy_throttle,raw_policy_brake,policy_throttle,policy_brake,final_throttle,final_brake,raw_pedal,applied_pedal,front_gap,min_ttc,shield_ttc,dsafe_d,ttc_shield_fired,dsafe_active
0,181,4.9908,0.2358,0.2608,0.0,0.2608,0.0,0.2608,-0.025,-0.2608,0.0,1.0,nan,nan,0,0
0,182,5.0334,0.6105,0.0634,0.3663,0.0,0.3663,0.0,0.5471,0.3663,0.0,1.0,nan,nan,0,0
0,183,5.067,0.2156,0.0864,0.2759,0.0,0.2759,0.0,0.1292,0.2759,0.0,1.0,nan,nan,0,0
0,184,5.0724,0.4795,0.0544,0.3981,0.0,0.3981,0.0,0.4251,0.3981,0.0,1.0,nan,nan,0,0
0,185,5.0484,0.8586,0.0644,0.6744,0.0,0.6744,0.0,0.7942,0.6744,0.0,1.0,nan,nan,0,0
0,186,5.1007,0.4482,0.1486,0.5387,0.0,0.5387,0.0,0.2996,0.5387,0.0,1.0,nan,nan,0,0
0,187,5.2278,0.5803,0.0764,0.5636,0.0,0.5636,0.0,0.5039,0.5636,0.0,1.0,nan,nan,0,0
0,188,5.3728,0.35,0.041,0.4354,0.0,0.4354,0.0,0.309,0.4354,0.0,1.0,nan,nan,0,0
0,189,5.5261,0.7043,0.0827,0.5967,0.0,0.5967,0.0,0.6216,0.5967,0.0,1.0,nan,nan,0,0
0,190,5.7154,0.4911,0.0481,0.5334,0.0,0.5334,0.0,0.443,0.5334,0.0,1.0,nan,nan,0,0
0,191,5.9423,0.7912,0.0302,0.6881,0.0,0.6881,0.0,0.761,0.6881,0.0,1.0,nan,nan,0,0
0,192,6.2381,0.6859,0.0973,0.6868,0.0,0.6868,0.0,0.5886,0.6868,0.0,1.0,nan,nan,0,0
0,193,6.4135,0.1248,0.191,0.0,0.191,0.0,0.191,-0.0662,-0.191,0.0,1.0,nan,nan,0,0
0,194,6.3392,0.1216,0.1845,0.0,0.1845,0.0,0.1845,-0.0629,-0.1845,0.0,1.0,nan,nan,0,0
